model_name,train_roc_auc,cv_roc_auc,gap_roc_auc,overfitting_ok,test_roc_auc,test_f1,test_recall,test_precision,test_accuracy
hist_gradient_boosting,0.8548442459023589,0.798539647736328,0.05630459816603084,False,0.8070491931350489,0.3589041095890411,0.24763705103969755,0.6517412935323383,0.8964945261528254
gradient_boosting,0.806863569761801,0.7921264353450912,0.014737134416709763,True,0.8019271720487257,0.3103698332124728,0.20226843100189035,0.6666666666666666,0.8948357845847617
random_forest,0.8250879427390887,0.7900254835081482,0.035062459230940535,True,0.7967794648046372,0.26881720430107525,0.16540642722117202,0.7172131147540983,0.8947252018135574
logistic_regression,0.7669708418103248,0.7628273370499828,0.004143504760341976,True,0.7717487775401183,0.28145941921072226,0.1786389413988658,0.6631578947368421,0.8932876257879022
decision_tree,0.7175693705825792,0.7069412892198559,0.010628081362723307,True,0.7143701623909668,0.3023758099352052,0.19848771266540643,0.6344410876132931,0.8928452947030853
dummy_most_frequent,0.5,0.5,0.0,True,0.5,0.0,0.0,0.0,0.8830034280659074
